Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?",Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What country do you work in?,Do you work remotely?,Inferred Tech Role,Why or why not bring up with a potential employer in an interview(mental health issue)_cleaned?,Why or why not bring up with a potential employer in an interview(physical health issue)_cleaned?
0,0,1,No,No,No,No,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,No,No,Maybe,"Yes, I think they would",Not open at all,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,unknown,Yes,1,Sometimes,Often,30,Male,United States of America,United States of America,Always,1,its not pertinent to the position,its not pertinent to the position
0,0,1,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,1,Some did,Aware,"Yes, they all did","Yes, they all did","Yes, always",None of them,None of them,"Yes, they all did",Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,32,Male,Canada,Canada,Sometimes,1,i dont know them and they dont know me,not their business unless it would impact how i do my job in a way that theyre allowed to care about
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,None of them,Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,I don't know,Maybe,Maybe,unknown,No,0,Not applicable to me,Sometimes,34,Male,Germany,Germany,Sometimes,1,no response,no response
0,0,1,Yes,I don't know,I don't know,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,1,Some did,Aware,Some did,Some did,"Yes, always",Some of them,Some of them,Some did,Some of them,Yes,Yes,Maybe,"No, they do not",Neutral,Maybe/Not sure,No,No,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Often,35,Female,Canada,Canada,Sometimes,1,i want to make sure both parties can make an informed decision  leaving something important unsaid would foster frustrated expectations,i want to make sure both parties can make an informed decision  leaving something important unsaid would foster frustrated expectations
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,No,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Maybe,unknown,No,0,Not applicable to me,Sometimes,30,Male,United States of America,United States of America,Sometimes,1,reduce chance for employment,negative feedback termination ridicule
0,0,1,No,No,No,I don't know,I don't know,Maybe,No,Maybe,No,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,None of them,Some did,None of them,Maybe,No,Maybe,Maybe,Neutral,Maybe/Not sure,No,Yes,Maybe,No,healthy,No,1,Not applicable to me,Not applicable to me,36,Male,United Kingdom,United Kingdom,Never,1,with the best will in the world an employer will not see it as a positive even if its not direct discrimination,i would only bring it up if the issue would affect my job or only if it might affect my job within  months
0,0,1,I don't know,I don't know,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No,1,I don't know,Aware,None did,None did,I don't know,None of them,None of them,"Yes, they all did",None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,No,No,healthy,No,0,Not applicable to me,Not applicable to me,26,Male,Sweden,Sweden,Sometimes,1,to be honest and up front about things that may affect my work performance unless i was too embarrassed to talk about it,to be up front about any factors that may affect my work performance
0,1,0,I don't know,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,No,I don't know,No,1,Some did,Aware,Some did,Some did,"Yes, always",Some of them,Some of them,Some did,Some of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Maybe,No,healthy,Yes,1,Sometimes,Sometimes,31,Female,Netherlands,Netherlands,Never,1,again it depends on if it would strongly affect my ability to work,if it was likely to affect my chances of being employed no my issue only occasionally impacts my ability to work
0,0,0,No,Yes,Yes,Yes,Very easy,No,No,No,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No response,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,33,Male,South Africa,South Africa,Never,1,this is quiet personal,it is important for everyone to be informed of the situation
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,No response,No response,Yes,Yes,Yes,anxiety-disorder,Yes,1,Sometimes,Sometimes,30,Male,United Kingdom,United Kingdom,Sometimes,0,no response,no response
0,0,1,I don't know,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,1,I don't know,Aware,Some did,Some did,I don't know,I don't know,Some of them,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I experienced",No,No,Yes,Yes,mood-disorder,Yes,1,Never,Sometimes,46,Male,United Kingdom,United Kingdom,Always,0,no response,no response
0,1,1,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,No,1,Some did,Aware,Some did,Some did,Sometimes,Some of them,Some of them,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No response,Yes,Yes,No,healthy,Yes,1,Rarely,Sometimes,32,Male,United States of America,United States of America,Sometimes,1,no response,no response
0,1,1,Yes,I don't know,Yes,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,United States of America,Sometimes,1,same as above and there are additional implications about mental health and overall group dynamics,i would never bring up health issues because it may be perceived as a negative for reliability of employee
0,1,1,I don't know,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,1,Some did,Aware,None did,Some did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,mood-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Sometimes,Sometimes,41,Male,United States of America,United States of America,Always,1,never have done it before,no response
0,1,1,I don't know,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did",Aware,Some did,"Yes, they all did","Yes, always",Some of them,Some of them,Some did,Some of them,Yes,Maybe,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,United States of America,Always,1,no response,if it was important to my health or well being i could like them to know
0,1,0,Yes,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,1,"Yes, they all did",Aware,Some did,"Yes, they all did",I don't know,Some of them,Some of them,I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,No,healthy,Yes,1,Sometimes,Sometimes,47,Male,United States of America,United States of America,Sometimes,1,i assume it would weigh against me getting the job,i assume that it would weigh against me getting the job
0,1,1,I don't know,No,I don't know,I don't know,Very easy,No,No,No,No,Yes,No,1,I don't know,Not Aware,Some did,Some did,No,Some of them,Some of them,Some did,None of them,No,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No response,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,United States of America,Always,1,no response,no response
0,1,0,Yes,Yes,I don't know,I don't know,I don't know,Maybe,No,Yes,Maybe,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,None of them,Some did,None of them,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,No,No response,I don't know,No,No,healthy,Yes,1,Never,Rarely,36,Male,United States of America,United States of America,Sometimes,1,theres a stigma so id probably leave it out if i could,maybe if it related to my work
0,1,1,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,No,No,No,1,Some did,Aware,Some did,Some did,Sometimes,Some of them,None of them,Some did,None of them,Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,No,No response,Yes,Yes,Yes,mood-disorder,Yes,1,Sometimes,Often,32,Male,United States of America,United States of America,Sometimes,1,stigma,biases exist
0,1,1,I don't know,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,1,Some did,Aware,Some did,Some did,Sometimes,I don't know,Some of them,Some did,Some of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No response,Yes,Maybe,Maybe,unknown,No,1,Not applicable to me,Rarely,29,Male,United States of America,United States of America,Sometimes,1,i wouldnt think it relevant to the interview,if it impacted or could impact my ability to do my job they should have the right to know about it
0,0,1,No,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,22,Male,United Kingdom,United Kingdom,Never,1,this again would negatively reflect on your potential especially more so that a physical problem,i feel this would negatively reflect on your potential
0,1,1,Yes,No,No,Yes,Very easy,Yes,No,No,No,No,Yes,1,"No, none did",Not Aware,None did,None did,No,"Yes, all of them",Some of them,None did,"Yes, all of them",No,No,"Yes, it has","Yes, I think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,mood-disorder | attention-deficit-hyperactivity-disorder | post-traumatic-stress-disorder,Yes,1,Often,Often,32,Female,United States of America,United States of America,Sometimes,1,no because i dont want them to think i cant perform my job or that they cant count on me in crunch time,no i dont want them to feel like i would be a burden
0,1,0,Yes,No,No,I don't know,Neither easy nor difficult,No,Maybe,No,No,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,None of them,Some of them,I don't know,None of them,No,Maybe,"Yes, I think it would",Maybe,Somewhat not open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,19,Female,United States of America,United States of America,Never,1,i would not bring up a mental health issue but if they brought it up i would talk about it,i would not bring up a physical health issue in an interview because i believe it would hinder my possibility of getting the job
0,0,1,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,"Yes, always",None of them,None of them,"Yes, they all did",None of them,Yes,Yes,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,30,Male,South Africa,South Africa,Sometimes,1,same reason as a physical health issue,it should never be a criteria for hiring me
0,0,1,I don't know,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,Sometimes,Some of them,Some of them,None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,No response,Yes,Yes,Maybe,unknown,Yes,1,Not applicable to me,Not applicable to me,32,Other,United States of America,United States of America,Always,1,mental health issues that impact my job are necessary for them to know for them to make an informed decision this would probably change to no if i needed the job as opposed to just wanted the job,physical health issues that impact my job are necessary for them to know for them to make an informed decision this would probably change to no if i needed the job as opposed to just wanted the job
0,1,1,I don't know,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,I don't know,Not Aware,None did,None did,No,Some of them,Some of them,Some did,None of them,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat not open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,22,Male,United States of America,United States of America,Sometimes,1,only if it would directly affect my work otherwise its not their business,only if it would directly affect my work otherwise its not their business
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,"No, I don't think it would","No, they do not",Somewhat open,No response,No response,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,30,Male,Poland,Poland,Always,1,if he does his work correctly why should i,not his concern
0,0,1,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,33,Male,Slovakia,Slovakia,Sometimes,1,xxx,xxx
0,0,1,No,No,No,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,No,Yes,No,healthy,Yes,1,Never,Sometimes,48,Female,United Kingdom,United Kingdom,Never,1,they wont employ me,they may not employ me
0,1,1,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,No response,No,Maybe,No,healthy,No,1,Not applicable to me,Not applicable to me,45,Male,Germany,Germany,Never,0,same reason could cause trouble to keep silent,if i wouldnt mention it it could cause trouble afterward
0,0,1,I don't know,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,"Yes, always",Some of them,None of them,Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,No,healthy,Yes,1,Never,Often,28,Male,United Kingdom,United Kingdom,Sometimes,1,no response,no response
0,1,1,I don't know,I don't know,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,1,I don't know,Not Aware,I don't know,None did,I don't know,Some of them,None of them,I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Maybe,No,healthy,No,1,Not applicable to me,Often,44,Male,United States of America,United States of America,Sometimes,1,even though its unjustified there is a stigma attached to mental health issues that is just not there for physical limitations,i would if it required adaptations on the part of the employer for me to be able to take the job
0,0,1,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,1,Some did,Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,No,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,31,Male,United States of America,United States of America,Sometimes,1,i doubt theyd hire me,im afraid it would impact my ability to get a job
0,0,1,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No response,I don't know,Yes,Yes,anxiety-disorder | mood-disorder | attention-deficit-hyperactivity-disorder | obsessive-compulsive-disorder,Yes,1,Rarely,Often,31,Female,United States of America,United States of America,Sometimes,1,no response,no response
0,1,1,Yes,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,Not Aware,None did,None did,I don't know,None of them,None of them,I don't know,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Very open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,United States of America,Never,1,depends on the issue,it depends on what the issue was if the issue required a significant amount of time off i would worry about how it would impact my chances of getting the job
0,1,0,Yes,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,No,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,United States of America,Never,1,i would want to know the stance of the potential employer towards mental health issues there is still a stigma surrounding mental health issues and while it needs to dissipate i would want to know the context in which i would bring it up and more details around the scenario,diabetes is a prominent part of my life  it impacts my ability to work in multiple ways as well as when i get in and when i may have to leave if my blood sugar is low in the mornings i have no say in the matter  i need to treat it before i can drive into an office
0,1,0,Yes,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,1,Some did,Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,None of them,No,No,Maybe,"No, I don't think they would",Very open,No,No response,Yes,Yes,Yes,unknown,Yes,1,Rarely,Often,35,Female,United States of America,United States of America,Sometimes,1,you never know who is interviewing you,ive had previous employers that responded negatively to that
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,"Yes, they all did","Yes, they all did","Yes, always",I don't know,None of them,"Yes, they all did",None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No response,I don't know,Maybe,No,healthy,No,1,Not applicable to me,Not applicable to me,44,Male,Austria,Austria,Sometimes,1,no response,no response
0,0,1,Yes,No,I don't know,I don't know,I don't know,Yes,No,No,No,No,No,1,Some did,Aware,Some did,Some did,"Yes, always",I don't know,None of them,Some did,Some of them,Maybe,No,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,anxiety-disorder | obsessive-compulsive-disorder,Yes,1,Rarely,Often,45,Male,United States of America,United States of America,Always,1,there is too much of a negative stigma associated with not being able to handle the stress of work  especially if you are in a startup,depends if the physical issue was considered a common issue for example an amputation  but perhaps not if it was a heart disorder  or something not visible to others
0,0,0,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder | attention-deficit-hyperactivity-disorder | personality-disorder | stress-response-syndromes | addictive-disorder,Yes,1,Sometimes,Often,22,Female,United States of America,United States of America,Sometimes,1,depends,it really depends
0,1,1,Yes,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,1,Some did,Aware,None did,None did,I don't know,Some of them,None of them,None did,Some of them,Maybe,Maybe,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",No,I don't know,Maybe,Maybe,unknown,No,0,Rarely,Often,34,Male,United States of America,United States of America,Sometimes,1,im a private person in general i may not bring it up,im a private person in general i may not bring it up
0,0,1,I don't know,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,1,Some did,Not Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,Some of them,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I experienced",No,I don't know,Maybe,Maybe,unknown,No,0,Not applicable to me,Rarely,35,Male,United Kingdom,United Kingdom,Never,1,i am a gifted adult and most employers arent familiar with my differences people with high iq can appear intimidating or aloof mental health issues might be the nail in the coffin,it would depend on the nature and severityimpairment
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,Some did,Some did,"Yes, always","Yes, all of them",None of them,Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Yes,mood-disorder,Yes,1,Sometimes,Often,39,Male,United States of America,United States of America,Sometimes,0,because i want the job,because i would want the job
0,0,1,No,No,No,No,Somewhat difficult,Yes,No,No,No,I don't know,No,1,"No, none did",Not Aware,I don't know,None did,I don't know,"Yes, all of them",None of them,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Very open,No,No response,Yes,Yes,Maybe,unknown,Yes,1,Not applicable to me,Not applicable to me,26,Male,Denmark,Denmark,Never,1,potential negative impact on job,potential negative consequences down the road
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,I don't know,None did,I don't know,I don't know,None of them,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,41,Male,United States of America,United States of America,Sometimes,0,same as above,if i was not really interested in the job  i would wait until i knew that i was really interested before getting that personal
0,1,1,No,I don't know,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,I don't know,Yes,1,"No, none did",Aware,"Yes, they all did",Some did,I don't know,Some of them,None of them,Some did,Some of them,Maybe,No,Maybe,Maybe,Very open,"Yes, I experienced",No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder | obsessive-compulsive-disorder | post-traumatic-stress-disorder | stress-response-syndromes,Yes,1,Rarely,Often,24,Male,Australia,Australia,Sometimes,1,strongly advised by mentors not to discuss it issues with anxiety are often perceived as a weaknesshindranceliability even if the interviewer is considerate of mental health issues this can introduce a negative bias,no response
0,0,1,I don't know,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,Some of them,Yes,Maybe,Maybe,"No, I don't think they would",Neutral,"Yes, I observed",No,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Sometimes,Often,24,Male,United States of America,United States of America,Never,1,having occasional depression myself im wellversed in the potential negative workrelated effects eg trouble focusing potential for oversleeping etc if i knew the employer was looking for an employee upon whom a lot of responsibilities would be entrusted i would probably not discuss my depression,i would be uncomfortable working for anyone with whom i couldnt discuss physical health
0,0,1,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,1,Some did,Aware,None did,None did,I don't know,Some of them,Some of them,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat open,No,No response,No,Yes,Yes,psychotic-disorder,Yes,1,Sometimes,Sometimes,34,Male,United States of America,United States of America,Sometimes,1,no response,no response
0,0,1,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,No,Some of them,None of them,None did,Some of them,Maybe,Maybe,Maybe,Maybe,Very open,Maybe/Not sure,No,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,36,Male,Australia,Australia,Sometimes,0,depends on likely impact on work performance,it depends on how relevant it would be to my work performance
0,1,0,Yes,I don't know,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,Yes,1,Some did,Aware,None did,Some did,I don't know,Some of them,Some of them,Some did,"Yes, all of them",Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Maybe,unknown,Yes,1,Rarely,Sometimes,41,Male,Australia,Australia,Sometimes,1,no response,no response
0,1,1,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,None of them,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,Yes,Yes,anxiety-disorder | mood-disorder | eating-disorder,Yes,1,Sometimes,Often,21,Male,United States of America,United States of America,Never,1,adds nothing of value to the interview,if it would require accommodations at work
0,1,1,I don't know,No,I don't know,No,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",Not Aware,None did,None did,No,I don't know,Some of them,None did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,"Yes, I experienced",No response,I don't know,Yes,Yes,mood-disorder,Yes,1,Rarely,Often,33,Male,Bangladesh,Bangladesh,Sometimes,1,to give them option to choose or reject me as a whole,maybe they will go for recruiting a healthy person
0,1,1,I don't know,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,"No, none did",Not Aware,None did,None did,No,I don't know,"Yes, all of them",None did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,No response,No response,Yes,No,No,healthy,No,1,Rarely,Often,32,Male,India,India,Always,1,no response,i am stressed clinically diagnosed so i should discuss that
0,1,0,Yes,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Maybe,I don't know,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,No response,I don't know,Yes,Yes,mood-disorder,Yes,1,Rarely,Sometimes,62,Female,United States of America,United States of America,Never,1,my mental health is currently well controlled so no one would know if i didnt tell them,i have ms and there are some stigmas with ms some people with ms have cognitive issues
0,0,0,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Often,37,Male,United States of America,United States of America,Sometimes,1,no response,no response
0,0,1,I don't know,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,I don't know,Not Aware,I don't know,None did,I don't know,None of them,None of them,I don't know,None of them,Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,No,No response,I don't know,No,Maybe,unknown,No,0,Never,Never,32,Male,United States of America,United States of America,Always,1,its good to know about potential hurdles ahead of time,because theres nothing to be ashamed of
